mês;ano;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;cump_mandado_prisao;ameaca;pessoas_desaparecidas;hom_por_interv_policial;armas_apreendidas;prisoes;grp;apf_cmp;apreensoes;gaai;aaapai_cmba;registro_ocorrencias;pol_militares_mortos_serv;pol_civis_mortos_serv;letalidade;roubo_rua;roubo_veic_meta;fase
1;1991;657;;15;162;3051;;;;217;;350;188;1174;63;967;381;37;;;;;158;2009;;4708;;;;;133;872;;;;;;;;;;;;;;;672;1348;1174;3
2;1991;732;;17;175;3421;;;;209;;357;171;1097;64;963;432;35;;;;;142;1850;;4375;;;;;127;751;;;;;;;;;;;;;;;749;1395;1097;3
3;1991;713;;25;216;3613;;;;188;;443;191;1265;71;963;422;43;;;;;131;2084;;4635;;;;;80;789;;;;;;;;;;;;;;;738;1385;1265;3
4;1991;634;;20;200;3211;;;;140;;425;199;1415;81;1186;354;36;;;;;112;2085;;4485;;;;;133;787;;;;;;;;;;;;;;;654;1540;1415;3
5;1991;650;;20;146;3051;;;;78;;553;231;1449;82;931;335;27;;;;;147;2185;;4269;;;;;163;845;;;;;;;;;;;;;;;670;1266;1449;3
6;1991;647;;14;201;2977;;;;111;;518;178;1354;82;831;342;37;;;;;81;1992;;4192;;;;;157;802;;;;;;;;;;;;;;;661;1173;1354;3
7;1991;558;;14;201;2784;;;;126;;496;186;1365;82;797;308;25;;;;;94;1978;;4304;;;;;203;870;;;;;;;;;;;;;;;572;1105;1365;3
8;1991;557;;11;209;3134;;;;79;;498;189;1347;71;813;299;29;;;;;88;1835;;4435;;;;;215;809;;;;;;;;;;;;;;;568;1112;1347;3
9;1991;542;;19;146;3026;;;;71;;473;199;1353;91;805;281;12;;;;;90;1993;;4270;;;;;179;756;;;;;;;;;;;;;;;561;1086;1353;3
10;1991;613;;21;200;3482;;;;95;;561;228;1470;83;834;328;16;;;;;107;1999;;4483;;;;;184;818;;;;;;;;;;;;;;;634;1162;1470;3
11;1991;577;;13;192;3300;;;;50;;569;239;1600;94;978;409;26;;;;;97;2039;;4485;;;;;170;886;;;;;;;;;;;;;;;590;1387;1600;3
12;1991;638;;16;202;4003;;;;95;;563;242;1563;157;1022;358;24;;;;;131;1930;;4591;;;;;122;905;;;;;;;;;;;;;;;654;1380;1563;3
1;1992;617;;19;176;3155;;;;90;;579;271;1801;172;962;373;12;;;;;126;2357;;4956;;;;;189;984;;;;;;;;;;;;;;;636;1335;1801;3
2;1992;691;;27;184;3413;;;;90;;613;300;1877;200;967;426;28;;;;;139;2236;;4650;;;;;154;917;;;;;;;;;;;;;;;718;1393;1877;3
3;1992;767;;12;181;3732;;;;72;;559;250;1825;172;1069;426;27;;;;;82;2241;;4922;;;;;179;951;;;;;;;;;;;;;;;779;1495;1825;3
4;1992;648;;29;172;3293;;;;66;;544;268;2090;182;1050;438;13;;;;;119;2199;;4716;;;;;138;969;;;;;;;;;;;;;;;677;1488;2090;3
5;1992;639;;28;196;3042;;;;56;;523;276;2194;143;940;439;16;;;;;126;2422;;4638;;;;;149;1042;;;;;;;;;;;;;;;667;1379;2194;3
6;1992;583;;26;145;3013;;;;61;;444;237;2220;171;901;417;10;;;;;93;2340;;4413;;;;;158;933;;;;;;;;;;;;;;;609;1318;2220;3
7;1992;541;;36;130;2881;;;;67;;412;214;2167;151;810;384;19;;;;;107;2415;;4459;;;;;188;951;;;;;;;;;;;;;;;577;1194;2167;3
8;1992;616;;27;128;3034;;;;53;;375;249;1959;134;850;397;15;;;;;114;2288;;4504;;;;;186;900;;;;;;;;;;;;;;;643;1247;1959;3
9;1992;560;;19;135;2897;;;;63;;340;255;2165;168;808;370;13;;;;;112;2315;;4326;;;;;191;940;;;;;;;;;;;;;;;579;1178;2165;3
10;1992;638;;24;160;3337;;;;66;;361;258;2322;135;827;406;25;;;;;121;2452;;4468;;;;;162;934;;;;;;;;;;;;;;;662;1233;2322;3
11;1992;658;;19;149;3190;;;;69;;365;247;2050;122;807;377;26;;;;;107;2355;;4350;;;;;175;910;;;;;;;;;;;;;;;677;1184;2050;3
12;1992;677;;22;154;3502;;;;96;;351;255;1832;186;823;357;23;;;;;91;1999;;4625;;;;;174;815;;;;;;;;;;;;;;;699;1180;1832;3
1;1993;597;;13;139;3411;;;;85;;299;233;2048;133;688;410;20;;;;;104;2341;;4552;;;;;175;855;;;;;;;;;;;;;;;610;1098;2048;3
2;1993;651;;17;171;3449;;;;85;;279;220;1897;135;752;348;20;;;;;111;2127;;4132;;;;;160;731;;;;;;;;;;;;;;;668;1100;1897;3
3;1993;755;;18;169;3434;;;;76;;337;218;2289;146;735;450;13;;;;;161;2458;;4445;;;;;164;869;;;;;;;;;;;;;;;773;1185;2289;3
4;1993;721;;23;156;3246;;;;61;;294;216;1994;139;829;395;25;;;;;142;2088;;4179;;;;;139;947;;;;;;;;;;;;;;;744;1224;1994;3
5;1993;665;;24;152;3251;;;;55;;350;193;2008;117;755;447;17;;;;;133;2287;;4121;;;;;160;956;;;;;;;;;;;;;;;689;1202;2008;3
6;1993;624;;24;127;2466;;;;60;;310;214;1988;114;749;391;17;;;;;127;2199;;3958;;;;;138;992;;;;;;;;;;;;;;;648;1140;1988;3
7;1993;657;;20;142;3016;;;;45;;290;199;2029;138;818;355;14;;;;;118;2272;;4142;;;;;156;1018;;;;;;;;;;;;;;;677;1173;2029;3
8;1993;617;;22;136;2888;;;;59;;247;205;2097;143;899;351;15;;;;;124;2273;;4135;;;;;108;952;;;;;;;;;;;;;;;639;1250;2097;3
9;1993;572;;19;122;2566;;;;47;;297;217;2058;143;787;362;14;;;;;98;2354;;3929;;;;;126;1007;;;;;;;;;;;;;;;591;1149;2058;3
10;1993;634;;29;159;3223;;;;52;;282;249;2228;142;903;412;28;;;;;119;2393;;4119;;;;;154;1088;;;;;;;;;;;;;;;663;1315;2228;3
11;1993;609;;31;139;3198;;;;71;;328;220;2181;166;958;423;25;;;;;127;2173;;4002;;;;;134;1139;;;;;;;;;;;;;;;640;1381;2181;3
12;1993;618;;25;129;3485;;;;96;;326;221;1973;185;907;378;17;;;;;123;1932;;4057;;;;;135;1065;;;;;;;;;;;;;;;643;1285;1973;3
1;1994;671;;19;159;3120;;;;56;;304;216;2010;94;912;352;18;;;;;136;2286;;3945;;;;;133;1055;;;;;;;;;;;;;;;690;1264;2010;3
2;1994;704;;20;129;3407;;;;89;;316;184;2033;96;842;371;18;;;;;114;1862;;3626;;;;;121;1111;;;;;;;;;;;;;;;724;1213;2033;3
3;1994;740;;22;132;2909;;;;64;;358;249;2725;101;1041;449;26;;;;;166;2630;;3871;;;;;130;1303;;;;;;;;;;;;;;;762;1490;2725;3
4;1994;737;;20;137;2752;;;;71;;377;200;2497;112;980;448;20;;;;;170;2394;;3643;;;;;127;1218;;;;;;;;;;;;;;;757;1428;2497;3
5;1994;621;;24;122;2839;;;;66;;371;225;2589;139;981;481;22;;;;;180;2548;;3709;;;;;169;1410;;;;;;;;;;;;;;;645;1462;2589;3
6;1994;682;;16;160;2549;;;;66;;324;198;2560;112;977;356;10;;;;;126;2409;;3462;;;;;152;1450;;;;;;;;;;;;;;;698;1333;2560;3
7;1994;681;;24;137;2731;;;;73;;279;179;2360;140;912;374;17;;;;;118;2497;;3446;;;;;168;1456;;;;;;;;;;;;;;;705;1286;2360;3
8;1994;610;;18;134;2350;;;;71;;914;196;2196;108;1174;426;19;;;;;170;2281;;4523;;;;;166;1312;;;;;;;;;;;;;;;628;1600;2196;3
9;1994;694;;12;138;2887;;;;80;;278;157;2170;92;849;427;36;;;;;127;1841;;3259;;;;;179;1369;;;;;;;;;;;;;;;706;1276;2170;3
10;1994;761;;8;177;3122;;;;83;;302;144;2361;102;897;331;44;;;;;111;2068;;3194;;;;;152;1483;;;;;;;;;;;;;;;769;1228;2361;3
11;1994;681;;19;145;3481;;;;96;;287;160;1957;101;1043;338;38;;;;;127;1736;;3299;;;;;190;1383;;;;;;;;;;;;;;;700;1381;1957;3
12;1994;826;;21;196;3550;;;;98;;293;165;2012;189;1045;406;42;;;;;159;1679;;3283;;;;;143;1480;;;;;;;;;;;;;;;847;1451;2012;3
1;1995;831;;17;166;3626;;;;98;;323;174;2060;188;1056;377;38;;;;;134;1924;;3461;;;;;147;1435;;;;;;;;;;;;;;;848;1433;2060;3
2;1995;814;;16;179;3286;;;;78;;294;144;1876;118;981;350;32;;;;;152;1737;;2984;;;;;194;1293;;;;;;;;;;;;;;;830;1331;1876;3
3;1995;756;;17;168;3258;;;;69;;352;159;2271;160;976;413;26;;;;;190;2135;;3346;;;;;181;1491;;;;;;;;;;;;;;;773;1389;2271;3
4;1995;788;;20;170;3028;;;;93;;315;150;2293;86;1033;426;37;;;;;176;1842;;2996;;;;;230;1496;;;;;;;;;;;;;;;808;1459;2293;3
5;1995;784;;19;149;2864;;;;89;;322;158;2178;101;1021;415;26;;;;;169;1843;;3256;;;;;192;1615;;;;;;;;;;;;;;;803;1436;2178;3
6;1995;673;;20;141;2786;;;;97;;298;132;2061;94;883;442;31;;;;;174;1951;;3069;;;;;246;1580;;;;;;;;;;;;;;;693;1325;2061;3
7;1995;702;;12;190;3266;;;;101;;343;157;2010;74;904;416;43;;;;;159;1927;;3128;;;;;326;1557;;;;;;;;;;;;;;;714;1320;2010;3
8;1995;664;;12;187;3256;;;;116;;367;124;2007;68;963;445;49;;;;;182;1817;;3319;;;;;446;1626;;;;;;;;;;;;;;;676;1408;2007;3
9;1995;623;;19;165;3178;;;;70;;299;97;1906;62;936;498;29;;;;;154;1736;;3083;;;;;355;1495;;;;;;;;;;;;;;;642;1434;1906;3
10;1995;565;;18;160;3207;;;;108;;361;122;1806;59;867;486;37;;;;;147;1819;;3134;;;;;395;1459;;;;;;;;;;;;;;;583;1353;1806;3
11;1995;603;;17;129;3180;;;;110;;288;130;1699;98;871;456;54;;;;;149;1622;;3069;;;;;418;1342;;;;;;;;;;;;;;;620;1327;1699;3
12;1995;635;;13;140;3534;;;;104;;324;78;1509;90;890;402;38;;;;;153;1575;;3213;;;;;378;1233;;;;;;;;;;;;;;;648;1292;1509;3
1;1996;621;;10;173;3680;;;;156;;243;96;1569;196;986;413;26;;;;;194;1731;;3395;;;;;416;1015;;;;;;;;;;;;;;;631;1399;1569;3
2;1996;601;;17;146;3389;;;;71;;274;67;1555;216;1002;436;31;;;;;162;1526;;3325;;;;;362;901;;;;;;;;;;;;;;;618;1438;1555;3
3;1996;706;;14;200;3428;;;;111;;315;84;1890;265;994;480;30;;;;;243;1829;;3422;;;;;474;1109;;;;;;;;;;;;;;;720;1474;1890;3
4;1996;578;;14;139;3304;;;;82;;433;120;1741;250;1006;530;47;;;;;207;1720;;3406;;;;;492;1025;;;;;;;;;;;;;;;592;1536;1741;3
5;1996;556;;16;162;3228;;;;77;;335;84;1652;244;1025;567;24;;;;;196;1777;;3439;;;;;561;1118;;;;;;;;;;;;;;;572;1592;1652;3
6;1996;596;;18;157;3310;;;;64;;294;77;1506;237;958;507;22;;;;;173;1586;;3135;;;;;506;951;;;;;;;;;;;;;;;614;1465;1506;3
7;1996;624;;14;162;3182;;;;74;;278;87;1507;254;1073;485;18;;;;;148;1825;;3477;;;;;602;983;;;;;;;;;;;;;;;638;1558;1507;3
8;1996;601;;20;152;3499;;;;89;;260;115;1479;251;1048;449;17;;;;;180;1723;;3413;;;;;656;894;;;;;;;;;;;;;;;621;1497;1479;3
9;1996;571;;11;170;3170;;;;76;;298;103;1312;250;1024;383;18;;;;;170;1637;;3300;;;;;585;790;;;;;;;;;;;;;;;582;1407;1312;3
10;1996;621;;6;189;3687;;;;74;;278;106;1394;272;1078;415;20;;;;;234;1715;;3527;;;;;691;877;;;;;;;;;;;;;;;627;1493;1394;3
11;1996;557;;14;182;3544;;;;92;;287;94;1412;249;1012;366;16;;;;;226;1504;;3412;;;;;713;759;;;;;;;;;;;;;;;571;1378;1412;3
12;1996;627;;12;186;3759;;;;111;;315;87;1350;319;1105;449;19;;;;;195;1553;;3701;;;;;673;729;;;;;;;;;;;;;;;639;1554;1350;3
1;1997;569;;10;170;3812;;;;59;;277;97;1442;256;1269;501;22;;;;;265;1772;;3835;;;;;737;810;;;;;;;;;;;;;;;579;1770;1442;3
2;1997;649;;11;158;3676;;;;92;;277;84;1360;198;1162;522;14;;;;;228;1564;;3787;;;;;836;729;;;;;;;;;;;;;;;660;1684;1360;3
3;1997;624;;8;161;3840;;;;73;;326;111;1634;227;1212;501;9;;;;;294;1901;;3819;;;;;897;884;;;;;;;;;;;;;;;632;1713;1634;3
4;1997;530;;14;177;3670;;;;66;;337;82;1776;246;1374;621;15;;;;;295;1845;;4114;;;;;778;1004;;;;;;;;;;;;;;;544;1995;1776;3
5;1997;586;;11;188;3599;;;;67;;418;89;1736;276;1461;633;7;;;;;277;1865;;4281;;;;;811;961;;;;;;;;;;;;;;;597;2094;1736;3
6;1997;640;;16;181;3512;;;;57;;370;79;1641;259;1349;543;17;;;;;287;1769;;3902;;;;;704;998;;;;;;;;;;;;;;;656;1892;1641;3
